time,open,high,low,close,volume,number_ticks,high_time,low_time,open_bid_slippage,open_ask_slippage
2014-01-01 22:07:07+00:00,1.375995,1.377435,1.3740999999999999,1.37713,0,1779,2014-01-01 23:19:22+00:00,2014-01-01 22:14:40+00:00,1.37552,1.37647
2014-01-02 03:12:24+00:00,1.377135,1.37752,1.372585,1.37267,0,1731,2014-01-02 03:12:44+00:00,2014-01-02 07:54:27+00:00,1.3771,1.37717
2014-01-02 07:54:45+00:00,1.37269,1.3732950000000002,1.3719999999999999,1.3719999999999999,0,402,2014-01-02 08:00:06+00:00,2014-01-02 08:07:54+00:00,1.37266,1.3727
2014-01-02 08:07:55+00:00,1.37203,1.37405,1.3716149999999998,1.3739249999999998,0,606,2014-01-02 08:44:16+00:00,2014-01-02 08:13:38+00:00,1.37201,1.3719999999999999
2014-01-02 08:44:29+00:00,1.374005,1.37423,1.3712550000000001,1.3712749999999998,0,555,2014-01-02 09:56:57+00:00,2014-01-02 11:01:58+00:00,1.37395,1.374
2014-01-02 11:01:58+00:00,1.3712550000000001,1.3712749999999998,1.36965,1.369665,0,576,2014-01-02 11:01:58+00:00,2014-01-02 11:12:08+00:00,1.37123,1.37125
2014-01-02 11:12:08+00:00,1.36972,1.36972,1.36772,1.36772,0,888,2014-01-02 11:12:08+00:00,2014-01-02 12:03:39+00:00,1.36968,1.36967
2014-01-02 12:03:40+00:00,1.36771,1.3684,1.36689,1.3684,0,426,2014-01-02 12:18:32+00:00,2014-01-02 12:06:53+00:00,1.36788,1.3676599999999999
2014-01-02 12:18:32+00:00,1.36836,1.3684,1.36546,1.36546,0,588,2014-01-02 12:18:32+00:00,2014-01-02 12:37:58+00:00,1.36836,1.3684
2014-01-02 12:37:58+00:00,1.3657,1.36669,1.36374,1.36374,0,614,2014-01-02 12:48:27+00:00,2014-01-02 12:55:39+00:00,1.36566,1.3654899999999999
2014-01-02 12:55:39+00:00,1.3638400000000002,1.36472,1.363715,1.36472,0,274,2014-01-02 12:59:47+00:00,2014-01-02 12:55:40+00:00,1.36387,1.36375
2014-01-02 12:59:53+00:00,1.36475,1.3676650000000001,1.36297,1.365335,0,2983,2014-01-02 16:55:12+00:00,2014-01-02 15:40:11+00:00,1.36473,1.36478
2014-01-03 02:45:37+00:00,1.36534,1.366615,1.363675,1.3636849999999998,0,970,2014-01-03 04:25:42+00:00,2014-01-03 08:25:39+00:00,1.36531,1.36536
2014-01-03 08:25:39+00:00,1.363675,1.365665,1.3582649999999998,1.359635,0,3873,2014-01-03 12:30:14+00:00,2014-01-03 20:59:35+00:00,1.3636599999999999,1.3637000000000001
2014-01-05 22:51:25+00:00,1.35962,1.360105,1.358695,1.358795,0,1038,2014-01-06 00:55:00+00:00,2014-01-06 00:32:28+00:00,1.35958,1.3596599999999999
2014-01-06 01:38:23+00:00,1.35881,1.35893,1.35716,1.357175,0,857,2014-01-06 01:39:16+00:00,2014-01-06 06:11:43+00:00,1.3587799999999999,1.35884
2014-01-06 06:11:43+00:00,1.357165,1.360655,1.35715,1.360515,0,379,2014-01-06 08:36:47+00:00,2014-01-06 06:11:47+00:00,1.35714,1.3571900000000001
2014-01-06 08:36:49+00:00,1.360525,1.365325,1.359115,1.3618450000000002,0,4520,2014-01-06 18:09:19+00:00,2014-01-06 08:53:34+00:00,1.36053,1.36055
2014-01-07 06:20:29+00:00,1.361885,1.3656350000000002,1.35967,1.36326,0,4183,2014-01-07 12:16:18+00:00,2014-01-07 15:11:40+00:00,1.36186,1.36184
2014-01-08 01:48:38+00:00,1.36327,1.363515,1.35991,1.359925,0,1132,2014-01-08 05:10:03+00:00,2014-01-08 09:35:50+00:00,1.36324,1.3633
2014-01-08 09:35:50+00:00,1.359925,1.360725,1.358005,1.358125,0,1248,2014-01-08 10:00:07+00:00,2014-01-08 11:00:22+00:00,1.3599,1.35994
2014-01-08 13:15:03+00:00,1.3581400000000001,1.361805,1.356205,1.356205,0,991,2014-01-08 15:06:06+00:00,2014-01-08 17:25:16+00:00,1.35806,1.35801
2014-01-08 17:25:16+00:00,1.3563649999999998,1.358645,1.355345,1.35744,0,1278,2014-01-08 20:32:40+00:00,2014-01-08 19:09:30+00:00,1.35635,1.3560400000000001
2014-01-08 22:55:18+00:00,1.3574199999999998,1.35785,1.356665,1.35784,0,587,2014-01-09 01:23:50+00:00,2014-01-09 00:03:43+00:00,1.35734,1.3575
2014-01-09 01:24:41+00:00,1.3578549999999998,1.360285,1.3571,1.360285,0,1363,2014-01-09 08:27:37+00:00,2014-01-09 02:07:33+00:00,1.3578299999999999,1.35788
2014-01-09 08:27:46+00:00,1.3602949999999998,1.36149,1.36017,1.36149,0,531,2014-01-09 09:05:05+00:00,2014-01-09 08:34:18+00:00,1.3602699999999999,1.3603
2014-01-09 09:05:05+00:00,1.361335,1.36284,1.3596750000000002,1.36279,0,833,2014-01-09 13:21:33+00:00,2014-01-09 12:03:37+00:00,1.36148,1.36136
2014-01-09 13:21:33+00:00,1.362835,1.36332,1.356425,1.356425,0,1090,2014-01-09 13:25:30+00:00,2014-01-09 13:49:03+00:00,1.36281,1.36272
2014-01-09 13:49:03+00:00,1.356635,1.356635,1.3552149999999998,1.35617,0,491,2014-01-09 13:49:03+00:00,2014-01-09 13:50:14+00:00,1.35662,1.35636
2014-01-09 13:51:13+00:00,1.356165,1.3619750000000002,1.35486,1.35983,0,2097,2014-01-10 06:27:34+00:00,2014-01-09 13:52:45+00:00,1.35614,1.35614
2014-01-10 09:50:00+00:00,1.359835,1.360045,1.357855,1.3578649999999999,0,1000,2014-01-10 11:31:35+00:00,2014-01-10 13:29:35+00:00,1.3598,1.35987
