time,open,high,low,close,volume,high_time,low_time,open_bid_slippage,open_ask_slippage
2014-01-01 22:07:01+00:00,1.3760050000000001,1.3769200000000001,1.3740999999999999,1.3769200000000001,0,2014-01-01 23:08:58+00:00,2014-01-01 22:14:40+00:00,1.37554,1.37647
2014-01-01 23:08:58+00:00,1.3769,1.377435,1.3762699999999999,1.37637,0,2014-01-01 23:19:22+00:00,2014-01-02 00:06:08+00:00,1.37686,1.37696
2014-01-02 00:16:20+00:00,1.3762850000000002,1.3766,1.37507,1.37561,0,2014-01-02 00:21:52+00:00,2014-01-02 01:30:35+00:00,1.37632,1.37633
2014-01-02 01:42:22+00:00,1.37562,1.37752,1.37562,1.375745,0,2014-01-02 03:12:44+00:00,2014-01-02 01:42:22+00:00,1.37558,1.3756599999999999
2014-01-02 04:15:13+00:00,1.375795,1.3758650000000001,1.37445,1.37571,0,2014-01-02 05:56:27+00:00,2014-01-02 05:01:51+00:00,1.37577,1.37577
2014-01-02 06:00:15+00:00,1.37568,1.375805,1.37408,1.3740999999999999,0,2014-01-02 06:25:58+00:00,2014-01-02 07:38:36+00:00,1.37565,1.37571
2014-01-02 07:38:39+00:00,1.37408,1.3742450000000002,1.372585,1.372625,0,2014-01-02 07:41:37+00:00,2014-01-02 07:54:27+00:00,1.37406,1.37412
2014-01-02 07:54:34+00:00,1.372645,1.3732950000000002,1.371975,1.3725,0,2014-01-02 08:00:06+00:00,2014-01-02 08:07:56+00:00,1.37264,1.37265
2014-01-02 08:10:33+00:00,1.37253,1.373915,1.3716149999999998,1.373915,0,2014-01-02 08:44:15+00:00,2014-01-02 08:13:38+00:00,1.3725100000000001,1.37253
2014-01-02 08:44:15+00:00,1.3739400000000002,1.37423,1.3722949999999998,1.37309,0,2014-01-02 09:56:57+00:00,2014-01-02 09:41:05+00:00,1.374,1.37393
2014-01-02 10:02:33+00:00,1.373065,1.37323,1.37016,1.37034,0,2014-01-02 10:05:20+00:00,2014-01-02 11:05:29+00:00,1.37301,1.3731200000000001
2014-01-02 11:09:42+00:00,1.3703949999999998,1.370435,1.368985,1.369015,0,2014-01-02 11:10:14+00:00,2014-01-02 11:20:44+00:00,1.37035,1.3704399999999999
2014-01-02 11:21:34+00:00,1.369,1.3695249999999999,1.367765,1.367765,0,2014-01-02 11:43:44+00:00,2014-01-02 12:03:29+00:00,1.36902,1.36903
2014-01-02 12:03:29+00:00,1.36778,1.3684,1.36689,1.36808,0,2014-01-02 12:18:32+00:00,2014-01-02 12:06:53+00:00,1.36789,1.36779
2014-01-02 12:23:04+00:00,1.368115,1.3683800000000002,1.366095,1.36611,0,2014-01-02 12:24:33+00:00,2014-01-02 12:36:47+00:00,1.36807,1.36816
2014-01-02 12:37:37+00:00,1.3661,1.36669,1.36437,1.364925,0,2014-01-02 12:48:27+00:00,2014-01-02 12:53:58+00:00,1.36606,1.36611
2014-01-02 12:54:10+00:00,1.36494,1.364985,1.363715,1.36471,0,2014-01-02 12:55:10+00:00,2014-01-02 12:55:40+00:00,1.36491,1.36483
2014-01-02 13:06:06+00:00,1.364655,1.3660999999999999,1.364105,1.3650250000000002,0,2014-01-02 13:14:57+00:00,2014-01-02 13:29:59+00:00,1.36464,1.36467
2014-01-02 13:34:00+00:00,1.36435,1.366,1.3632849999999999,1.36337,0,2014-01-02 15:06:57+00:00,2014-01-02 15:33:08+00:00,1.3643100000000001,1.36439
2014-01-02 15:33:10+00:00,1.363375,1.3676650000000001,1.36297,1.3675449999999998,0,2014-01-02 16:55:12+00:00,2014-01-02 15:40:11+00:00,1.36335,1.36341
2014-01-02 17:06:00+00:00,1.3674050000000002,1.367505,1.3652549999999999,1.36687,0,2014-01-02 18:42:03+00:00,2014-01-02 20:00:10+00:00,1.3673600000000001,1.36745
2014-01-03 00:06:50+00:00,1.3668749999999998,1.367205,1.365755,1.365755,0,2014-01-03 00:32:08+00:00,2014-01-03 01:11:35+00:00,1.36685,1.3669
2014-01-03 01:11:47+00:00,1.365745,1.366415,1.36492,1.3649200000000001,0,2014-01-03 02:14:48+00:00,2014-01-03 02:48:41+00:00,1.36571,1.36574
2014-01-03 02:48:42+00:00,1.364925,1.366615,1.364455,1.365305,0,2014-01-03 04:25:42+00:00,2014-01-03 05:53:40+00:00,1.3648799999999999,1.36497
2014-01-03 06:20:56+00:00,1.36531,1.3661349999999999,1.363645,1.36365,0,2014-01-03 07:28:31+00:00,2014-01-03 08:29:34+00:00,1.36527,1.36535
2014-01-03 08:29:38+00:00,1.363655,1.3642400000000001,1.36286,1.363295,0,2014-01-03 08:57:38+00:00,2014-01-03 09:18:23+00:00,1.36362,1.36369
2014-01-03 09:23:21+00:00,1.3632900000000001,1.365665,1.362215,1.3623750000000001,0,2014-01-03 12:30:14+00:00,2014-01-03 13:21:17+00:00,1.36327,1.36331
2014-01-03 14:06:56+00:00,1.362365,1.362545,1.36126,1.361855,0,2014-01-03 14:07:04+00:00,2014-01-03 14:10:11+00:00,1.36236,1.36236
2014-01-03 14:11:47+00:00,1.3618649999999999,1.361945,1.360475,1.3609149999999999,0,2014-01-03 14:25:47+00:00,2014-01-03 14:48:17+00:00,1.36185,1.36189
2014-01-03 14:49:44+00:00,1.36091,1.361735,1.35977,1.35982,0,2014-01-03 16:09:41+00:00,2014-01-03 17:05:09+00:00,1.36087,1.36096
2014-01-03 17:05:17+00:00,1.359765,1.3606449999999999,1.35914,1.35916,0,2014-01-03 17:44:43+00:00,2014-01-03 20:16:49+00:00,1.35982,1.35977
2014-01-03 20:16:52+00:00,1.359165,1.359225,1.3583,1.3583150000000002,0,2014-01-03 20:27:42+00:00,2014-01-03 20:46:41+00:00,1.35917,1.3592
2014-01-03 20:57:27+00:00,1.358305,1.3600349999999999,1.3582649999999998,1.359295,0,2014-01-05 22:59:59+00:00,2014-01-03 20:59:35+00:00,1.35832,1.35835
2014-01-05 23:25:00+00:00,1.359305,1.3599100000000002,1.358695,1.359745,0,2014-01-06 00:51:14+00:00,2014-01-06 00:32:28+00:00,1.35929,1.35931
2014-01-06 00:51:25+00:00,1.3597350000000001,1.360105,1.35811,1.35812,0,2014-01-06 00:55:00+00:00,2014-01-06 01:45:43+00:00,1.35976,1.3597299999999999
2014-01-06 01:45:45+00:00,1.3581050000000001,1.3588049999999998,1.35761,1.3576700000000002,0,2014-01-06 02:04:04+00:00,2014-01-06 05:58:27+00:00,1.3580999999999999,1.35808
2014-01-06 06:02:36+00:00,1.35764,1.36031,1.35715,1.3601649999999998,0,2014-01-06 08:35:42+00:00,2014-01-06 06:11:47+00:00,1.35761,1.35767
2014-01-06 08:36:20+00:00,1.360215,1.361275,1.359115,1.36104,0,2014-01-06 09:08:57+00:00,2014-01-06 08:53:34+00:00,1.36018,1.36025
2014-01-06 09:10:32+00:00,1.36102,1.36215,1.36037,1.362115,0,2014-01-06 10:46:14+00:00,2014-01-06 09:21:49+00:00,1.36099,1.36104
