time,open,high,low,close,volume,high_time,low_time,first_index,first_time,open_bid_slippage,open_ask_slippage
2014-01-01 20:00:00+00:00,1.0777800000000002,1.377435,1.3740999999999999,1.376715,0,2014-01-01 23:19:22+00:00,2014-01-01 22:14:34+00:00,0.0,2014-01-01 22:07:01+00:00,1.07773,1.07783
2014-01-02 00:00:00+00:00,1.37657,1.37752,1.37507,1.3766850000000002,0,2014-01-02 03:12:44+00:00,2014-01-02 01:30:34+00:00,820.0,2014-01-02 00:00:00+00:00,1.3765399999999999,1.3765
2014-01-02 04:00:00+00:00,1.3766850000000002,1.37637,1.37257,1.373215,0,2014-01-02 04:06:07+00:00,2014-01-02 07:54:50+00:00,1965.0,2014-01-02 04:06:07+00:00,1.37666,1.37671
2014-01-02 08:00:00+00:00,1.37318,1.37423,1.3684,1.3690799999999999,0,2014-01-02 09:56:57+00:00,2014-01-02 11:27:19+00:00,3664.0,2014-01-02 08:00:00+00:00,1.37321,1.3732
2014-01-02 12:00:00+00:00,1.3690799999999999,1.3688950000000002,1.36297,1.365405,0,2014-01-02 12:00:02+00:00,2014-01-02 15:40:11+00:00,6371.0,2014-01-02 12:00:02+00:00,1.36906,1.3691
2014-01-02 16:00:00+00:00,1.365405,1.3676650000000001,1.365665,1.365935,0,2014-01-02 16:55:12+00:00,2014-01-02 19:44:30+00:00,9792.0,2014-01-02 16:01:11+00:00,1.36536,1.36545
2014-01-02 20:00:00+00:00,1.365935,1.3671449999999998,1.3652549999999999,1.366525,0,2014-01-02 21:24:18+00:00,2014-01-02 20:00:10+00:00,10112.0,2014-01-02 20:00:10+00:00,1.36589,1.36598
2014-01-03 00:00:00+00:00,1.36654,1.36721,1.36491,1.3658549999999998,0,2014-01-03 00:32:08+00:00,2014-01-03 02:48:18+00:00,10445.0,2014-01-03 00:00:00+00:00,1.36651,1.36654
2014-01-03 04:00:00+00:00,1.3658549999999998,1.366615,1.364455,1.36504,0,2014-01-03 04:25:42+00:00,2014-01-03 05:53:40+00:00,11637.0,2014-01-03 04:05:45+00:00,1.36584,1.36587
2014-01-03 08:00:00+00:00,1.36504,1.36551,1.36286,1.364135,0,2014-01-03 08:01:55+00:00,2014-01-03 09:18:23+00:00,12118.0,2014-01-03 08:01:28+00:00,1.36502,1.36506
2014-01-03 12:00:00+00:00,1.364135,1.365665,1.3599450000000002,1.360795,0,2014-01-03 12:30:14+00:00,2014-01-03 15:14:02+00:00,13200.0,2014-01-03 12:05:59+00:00,1.36412,1.36415
2014-01-03 16:00:00+00:00,1.360795,1.361735,1.3593250000000001,1.359925,0,2014-01-03 16:09:41+00:00,2014-01-03 17:16:59+00:00,14858.0,2014-01-03 16:09:08+00:00,1.36078,1.36081
2014-01-03 20:00:00+00:00,1.359925,1.3599100000000002,1.35826,1.358265,0,2014-01-03 20:01:21+00:00,2014-01-03 20:59:59+00:00,15401.0,2014-01-03 20:00:39+00:00,1.35991,1.35994
2014-01-04 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-04 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-04 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-04 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-04 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-04 20:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 00:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 04:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 08:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 12:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 16:00:00+00:00,,,,,0,2014-01-01 22:07:01+00:00,2014-01-01 22:07:01+00:00,,,1.35823,1.3583
2014-01-05 20:00:00+00:00,1.358265,1.36004,1.35893,1.35958,0,2014-01-05 22:59:59+00:00,2014-01-05 23:28:31+00:00,16033.0,2014-01-05 22:15:06+00:00,1.35823,1.3583
2014-01-06 00:00:00+00:00,1.359565,1.36011,1.3578549999999998,1.3582999999999998,0,2014-01-06 00:55:00+00:00,2014-01-06 02:23:19+00:00,16577.0,2014-01-06 00:00:00+00:00,1.35954,1.35952
2014-01-06 04:00:00+00:00,1.3582999999999998,1.35899,1.35715,1.358055,0,2014-01-06 07:21:17+00:00,2014-01-06 06:11:43+00:00,17864.0,2014-01-06 04:02:38+00:00,1.35828,1.35832
2014-01-06 08:00:00+00:00,1.358055,1.362215,1.3582800000000002,1.360375,0,2014-01-06 11:09:47+00:00,2014-01-06 08:00:14+00:00,18341.0,2014-01-06 08:00:14+00:00,1.35804,1.35807
2014-01-06 12:00:00+00:00,1.360375,1.3646850000000001,1.3595549999999998,1.36427,0,2014-01-06 15:56:12+00:00,2014-01-06 14:01:41+00:00,19681.0,2014-01-06 12:24:03+00:00,1.36036,1.36039
2014-01-06 16:00:00+00:00,1.36427,1.365325,1.3630499999999999,1.363335,0,2014-01-06 18:09:19+00:00,2014-01-06 19:43:24+00:00,21237.0,2014-01-06 16:00:02+00:00,1.3642400000000001,1.3643
2014-01-06 20:00:00+00:00,1.363335,1.3637000000000001,1.36261,1.36321,0,2014-01-06 21:15:02+00:00,2014-01-06 23:18:05+00:00,21894.0,2014-01-06 20:03:34+00:00,1.3633199999999999,1.36335
2014-01-07 00:00:00+00:00,1.36321,1.3633600000000001,1.362055,1.36245,0,2014-01-07 00:12:17+00:00,2014-01-07 00:53:23+00:00,22210.0,2014-01-07 00:00:03+00:00,1.36316,1.36326
2014-01-07 04:00:00+00:00,1.36245,1.362725,1.36105,1.361695,0,2014-01-07 04:44:47+00:00,2014-01-07 06:27:03+00:00,22958.0,2014-01-07 04:03:23+00:00,1.3624,1.3625
2014-01-07 08:00:00+00:00,1.361695,1.36503,1.3612900000000001,1.36365,0,2014-01-07 11:21:33+00:00,2014-01-07 08:03:00+00:00,23494.0,2014-01-07 08:00:25+00:00,1.36166,1.36173
2014-01-07 12:00:00+00:00,1.36365,1.365645,1.3596650000000001,1.359995,0,2014-01-07 12:16:20+00:00,2014-01-07 15:11:40+00:00,24483.0,2014-01-07 12:00:02+00:00,1.3636300000000001,1.36367
2014-01-07 16:00:00+00:00,1.359995,1.36402,1.3605450000000001,1.361615,0,2014-01-07 17:26:25+00:00,2014-01-07 16:00:50+00:00,25685.0,2014-01-07 16:00:26+00:00,1.35998,1.36001
2014-01-07 20:00:00+00:00,1.361615,1.3617949999999999,1.36091,1.3617949999999999,0,2014-01-07 23:59:51+00:00,2014-01-07 22:29:37+00:00,25854.0,2014-01-07 20:04:47+00:00,1.36157,1.36166
2014-01-08 00:00:00+00:00,1.3617949999999999,1.36327,1.360515,1.36224,0,2014-01-08 01:48:38+00:00,2014-01-08 00:22:35+00:00,26153.0,2014-01-08 00:00:06+00:00,1.36174,1.36185
2014-01-08 04:00:00+00:00,1.36224,1.363515,1.361695,1.36181,0,2014-01-08 05:10:03+00:00,2014-01-08 07:43:16+00:00,27560.0,2014-01-08 04:01:31+00:00,1.36222,1.36226
2014-01-08 08:00:00+00:00,1.36181,1.3616899999999998,1.358005,1.358215,0,2014-01-08 08:00:05+00:00,2014-01-08 11:00:22+00:00,27929.0,2014-01-08 08:00:05+00:00,1.36178,1.36184
2014-01-08 12:00:00+00:00,1.358215,1.361805,1.356745,1.360745,0,2014-01-08 15:06:06+00:00,2014-01-08 13:18:57+00:00,29450.0,2014-01-08 12:02:03+00:00,1.35819,1.35824
2014-01-08 16:00:00+00:00,1.360745,1.359375,1.355345,1.358255,0,2014-01-08 16:08:35+00:00,2014-01-08 19:09:30+00:00,30529.0,2014-01-08 16:08:35+00:00,1.36073,1.36076
2014-01-08 20:00:00+00:00,1.358015,1.358645,1.357125,1.3571550000000001,0,2014-01-08 20:32:40+00:00,2014-01-08 23:57:03+00:00,31659.0,2014-01-08 20:00:00+00:00,1.35803,1.35803
2014-01-09 00:00:00+00:00,1.3571550000000001,1.358585,1.356665,1.3579050000000001,0,2014-01-09 03:28:39+00:00,2014-01-09 00:03:43+00:00,31935.0,2014-01-09 00:00:01+00:00,1.35712,1.3572
2014-01-09 04:00:00+00:00,1.3579050000000001,1.36015,1.35765,1.360115,0,2014-01-09 07:59:49+00:00,2014-01-09 04:26:23+00:00,32836.0,2014-01-09 04:00:25+00:00,1.35788,1.35793
2014-01-09 08:00:00+00:00,1.3601,1.3622049999999999,1.359365,1.360175,0,2014-01-09 09:16:57+00:00,2014-01-09 08:19:32+00:00,33732.0,2014-01-09 08:00:00+00:00,1.36008,1.36013
2014-01-09 12:00:00+00:00,1.360175,1.36332,1.3548550000000001,1.35822,0,2014-01-09 13:25:30+00:00,2014-01-09 13:52:45+00:00,34954.0,2014-01-09 12:00:06+00:00,1.36016,1.36019
2014-01-09 16:00:00+00:00,1.35822,1.3592300000000002,1.358425,1.35857,0,2014-01-09 16:33:34+00:00,2014-01-09 17:41:09+00:00,37441.0,2014-01-09 16:02:16+00:00,1.3581699999999999,1.35827
2014-01-09 20:00:00+00:00,1.35857,1.361005,1.359295,1.3608850000000001,0,2014-01-09 21:37:42+00:00,2014-01-09 20:17:18+00:00,37452.0,2014-01-09 20:17:18+00:00,1.35853,1.35861
2014-01-10 00:00:00+00:00,1.360635,1.36139,1.3603049999999999,1.3611550000000001,0,2014-01-10 03:07:05+00:00,2014-01-10 00:07:36+00:00,37646.0,2014-01-10 00:00:00+00:00,1.3606,1.36066
2014-01-10 04:00:00+00:00,1.3611550000000001,1.36198,1.3605450000000001,1.360925,0,2014-01-10 06:27:34+00:00,2014-01-10 07:39:53+00:00,38304.0,2014-01-10 04:03:23+00:00,1.36111,1.3612
2014-01-10 08:00:00+00:00,1.360925,1.361175,1.35886,1.359715,0,2014-01-10 08:31:44+00:00,2014-01-10 10:15:59+00:00,38660.0,2014-01-10 08:00:44+00:00,1.36091,1.36094
